Asset Type,Asset,asset_category,mettr_c_2016,mettr_c_2018,mettr_c_2019,mettr_c_2020,asset_category,assets_c
Household furniture,Household furniture,Office and Residential Equipment,0.123624933,0.144459266,0.164326,0.21797037,Office and Residential Equipment,8900871527
Other furniture,Other furniture,Office and Residential Equipment,0.144233329,0.167932835,0.190355051,0.250512005,Office and Residential Equipment,2.02E+11
Other agricultural machinery,Other agricultural machinery,Other Industrial Equipment,0.144233329,0.167932835,0.190355051,0.250512005,Other Industrial Equipment,46750113838
Farm tractors,Farm tractors,Other Industrial Equipment,0.164074024,0.190354518,0.215032927,0.280366255,Other Industrial Equipment,24563500689
Other construction machinery,Other construction machinery,Other Industrial Equipment,0.133689881,0.155947141,0.177089381,0.233784714,Other Industrial Equipment,1.24E+11
Construction tractors,Construction tractors,Other Industrial Equipment,0.138383153,0.161288499,0.183007544,0.241063741,Other Industrial Equipment,9895536360
Mining and oilfield machinery,Mining and oilfield machinery,Other Industrial Equipment,0.167467784,0.194172471,0.219217219,0.285371214,Other Industrial Equipment,84858812351
Service industry machinery,Service industry machinery,Other Equipment,0.169434782,0.196383027,0.221637519,0.288258754,Other Equipment,1.01E+11
Household appliances,Household appliances,Office and Residential Equipment,0.139338159,0.162374182,0.18420921,0.242537595,Office and Residential Equipment,2759304252
Other electrical,Other electrical,Other Equipment,0.190340666,0.219773736,0.247141942,0.31835877,Other Equipment,16821590673
Other,Other,Other Equipment,0.165562192,0.192029315,0.21686906,0.282564525,Other Equipment,2.20E+11
Office,Office,Nonresidential Buildings,0.353830869,0.353830869,0.353830869,0.353830869,Nonresidential Buildings,1.13E+12
Hospitals,Hospitals,Nonresidential Buildings,0.33422175,0.33422175,0.33422175,0.33422175,Nonresidential Buildings,3.21E+11
Special care,Special care,Nonresidential Buildings,0.33422175,0.33422175,0.33422175,0.33422175,Nonresidential Buildings,70115662531
Medical buildings,Medical buildings,Nonresidential Buildings,0.353830869,0.353830869,0.353830869,0.353830869,Nonresidential Buildings,1.09E+11
Multimerchandise shopping,Multimerchandise shopping,Nonresidential Buildings,0.358633442,0.358633442,0.358633442,0.358633442,Nonresidential Buildings,4.24E+11
Food and beverage establishments,Food and beverage establishments,Nonresidential Buildings,0.358633442,0.358633442,0.358633442,0.358633442,Nonresidential Buildings,1.78E+11
Warehouses,Warehouses,Nonresidential Buildings,0.346655547,0.346655547,0.346655547,0.346655547,Nonresidential Buildings,2.81E+11
Mobile structures,Mobile structures,Other Structures,0.095226771,0.111801033,0.127778981,0.172136814,Other Structures,4708544169
Other commercial,Other commercial,Nonresidential Buildings,0.358633442,0.358633442,0.358633442,0.358633442,Nonresidential Buildings,3.43E+11
Manufacturing,Manufacturing,Nonresidential Buildings,0.374743537,0.374743537,0.374743537,0.374743537,Nonresidential Buildings,1.10E+12
Electric,Electric,Other Structures,0.1012086,0.118710514,0.135543828,0.182394527,Other Structures,1.05E+12
Wind and solar,Wind and solar,Other Structures,0.056474547,0.066642175,0.076593003,0.104786743,Other Structures,1.19E+11
Gas,Gas,Mining and Drilling Structures,0.111158745,0.130167797,0.148380805,0.198374879,Mining and Drilling Structures,3.66E+11
Petroleum pipelines,Petroleum pipelines,Mining and Drilling Structures,0.067895095,0.080022758,0.091838887,0.125301327,Mining and Drilling Structures,1.13E+11
Communication,Communication,Mining and Drilling Structures,0.128595331,0.150138001,0.170641222,0.226582009,Mining and Drilling Structures,5.79E+11
Petroleum and natural gas,Petroleum and natural gas,Mining and Drilling Structures,0.085750201,0.100821497,0.115403955,0.155844982,Mining and Drilling Structures,1.03E+12
Mining,Mining,Mining and Drilling Structures,0.086324338,0.101487858,0.116156283,0.157140415,Mining and Drilling Structures,82930242551
Educational and vocational,Educational and vocational,Nonresidential Buildings,0.33422175,0.33422175,0.33422175,0.33422175,Nonresidential Buildings,2.83E+11
Lodging,Lodging,Nonresidential Buildings,0.364615175,0.364615175,0.364615175,0.364615175,Nonresidential Buildings,1.72E+11
Amusement and recreation,Amusement and recreation,Other Structures,0.073422966,0.086477652,0.099169589,0.134966272,Other Structures,1.63E+11
Air transportation,Air transportation,Nonresidential Buildings,0.350588995,0.350588995,0.350588995,0.350588995,Nonresidential Buildings,26676130902
Other transportation,Other transportation,Nonresidential Buildings,0.350588995,0.350588995,0.350588995,0.350588995,Nonresidential Buildings,3546598618
Other railroad,Other railroad,Other Structures,0.140397926,0.163578488,0.185541676,0.244997769,Other Structures,1.36E+11
Track replacement,Track replacement,Other Structures,0.068953102,0.081259285,0.093244395,0.127158885,Other Structures,1.66E+11
Local transit structures,Local transit structures,Other Structures,0.350588995,0.350588995,0.350588995,0.350588995,Other Structures,9253082152
Other land transportation,Other land transportation,Other Structures,0.052002413,0.061385992,0.07058563,0.096738089,Other Structures,7047759109
Farm,Farm,Other Structures,0.152054639,0.176792256,0.200127417,0.262798276,Other Structures,1.10E+11
Water supply,Water supply,Other Structures,0.149491662,0.173892071,0.196931469,0.258915527,Other Structures,41285680278
Sewage and waste disposal,Sewage and waste disposal,Other Structures,0.149491662,0.173892071,0.196931469,0.258915527,Other Structures,37655287430
Public safety,Public safety,Nonresidential Buildings,0.350588995,0.350588995,0.350588995,0.350588995,Nonresidential Buildings,15488160357
Highway and conservation and development,Highway and conservation and development,Other Structures,0.126687069,0.147959095,0.168219482,0.223571014,Other Structures,22901934534
Prepackaged software,Prepackaged software,Computers and Software,0.223197243,0.256156254,0.286432263,0.360703177,Computers and Software,72268924053
Custom software,Custom software,Computers and Software,0.154001663,0.178993515,0.202551155,0.262918234,Computers and Software,1.97E+11
Own account software,Own account software,Computers and Software,0.154001663,0.178993515,0.202551155,0.262918234,Computers and Software,1.99E+11
Residential,Residential,Residential Buildings,0.29012157,0.29012157,0.29012157,0.29012157,Residential Buildings,3.34E+11
Land,Land,Land,0.351379384,0.351379384,0.351379384,0.351379384,Land,3.59E+12
Inventories,Inventories,Inventories,0.351379384,0.351379384,0.351379384,0.351379384,Inventories,1.54E+12
